"id","genre","artist_name","energy","mood_vec","track_name","valence"
"2Y115i0IhELJhyyftvoSFt","rainy-day","Lana Del Rey","0.653","[{""N"":""0.43""},{""N"":""0.653""}]","Dark Paradise","0.43"
"18Lvdz9sSs5vCY3RuEhaSG","sertanejo","Marcos & Belutti","0.891","[{""N"":""0.798""},{""N"":""0.891""}]","Escondidinho","0.798"
"16jvUOIQ2P54P0bNN4rAdv","country","Kellie Pickler","0.862","[{""N"":""0.538""},{""N"":""0.862""}]","Best Days of Your Life","0.538"
"00sydAz6PeOxYzwG1dRIPi","punk-rock","The Stooges","0.977","[{""N"":""0.241""},{""N"":""0.977""}]","Search and Destroy [2023 Remaster] - Iggy Mix","0.241"
"6k7b4mcxLP5HPo6hNoXoM6","romance","Drake","0.465","[{""N"":""0.177""},{""N"":""0.465""}]","Shot For Me","0.177"
"6IQTaNmbMMO1mX3p8iwEBQ","folk","Elliott Smith","0.0993","[{""N"":""0.588""},{""N"":""0.0993""}]","Angeles","0.588"
"2G6d1OttEYLmDJ2KzpJxvm","edm","Infected Mushroom","0.831","[{""N"":""0.402""},{""N"":""0.831""}]","Never Mind","0.402"
"0R4qHzEYoRn1h9TZPyyq8Q","house","Jakob Liedholm","0.816","[{""N"":""0.452""},{""N"":""0.816""}]","Swede Love","0.452"
"1n7SSmnUgI9IXn7awuhwdp","reggaeton","Various Artists","0.865","[{""N"":""0.856""},{""N"":""0.865""}]","Waooo! (Me Tienes Descontrolao)","0.856"
"4Equc2DeADWqZyRPuScCBy","bluegrass","Yonder Mountain String Band","0.773","[{""N"":""0.961""},{""N"":""0.773""}]","Troubled Mind","0.961"
"6Qk0gW5M6kRmFycEjAUiLK","black-metal","Immortal","0.948","[{""N"":""0.0309""},{""N"":""0.948""}]","Pure Holocaust","0.0309"
"6crBy2sODw2HS53xquM6us","guitar","Tenacious D","0.767","[{""N"":""0.422""},{""N"":""0.767""}]","Tribute","0.422"
